Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,55.407967,1.298375,56.624290,1.202248,55.427265,1.149183,52.870925,1.040867,54.482496,1.022423,50.616034,0.913308,52.703660,0.846196,54.336391,0.768152,50.949503,0.719160,50.857820,0.583980,50.868969,0.541596,50.966907,0.459992,51.654724,0.373837,50.167797,0.290933,54.581519,0.247153,54.172090,0.170114,54.338962,0.063191,53.576538,-0.089792,51.342768,-0.035446,51.938028,-0.029478,57.190059,-0.211140,53.340947,-0.318948,52.911845,-0.305837,59.977682,-0.429945,51.733931,-0.478489,56.339323,-0.615679,54.262357,-0.608343,52.015192,-0.673960,55.538991,-0.864718,55.430123,-0.862474,56.181113,-0.972188,52.792771,-0.967393,-38.345568
0.100000,0.000000,55.627547,-0.525289,53.761736,-0.549135,53.562853,-0.404021,58.696314,-0.405242,53.264997,-0.369805,53.965871,-0.335818,55.626532,-0.253980,52.314059,-0.286416,55.296100,-0.121286,55.607109,-0.134861,52.975946,-0.117165,55.267223,-0.088260,52.397858,0.027973,55.252099,0.125677,56.921144,0.094828,54.938544,0.172712,50.872263,0.265280,52.291385,0.276782,53.033891,0.352056,50.907354,0.340916,53.192866,0.441823,53.062340,0.546443,51.706762,0.523180,55.086118,0.522934,58.004740,0.690081,56.596028,0.683983,53.595038,0.649754,51.240677,0.828380,51.543536,0.811096,54.196730,0.847091,52.938181,0.930503,55.230533,0.930773,-38.417043
0.200000,0.000000,55.231141,-0.555792,55.893191,-0.511122,61.426035,-0.461221,50.396778,-0.412589,48.262941,-0.342689,49.813764,-0.308397,57.440137,-0.226311,50.044413,-0.198466,53.544164,-0.099436,51.136150,-0.091212,50.785620,-0.061124,50.530746,-0.029262,49.139124,0.019702,53.787792,0.054377,53.011149,0.143766,48.558287,0.231868,56.016837,0.291563,50.735397,0.279999,48.943461,0.352099,51.984850,0.445441,49.907556,0.499513,53.936865,0.585346,53.991132,0.566889,48.613559,0.575712,51.412537,0.673091,53.272792,0.710381,54.685639,0.792501,55.886597,0.817737,54.421178,0.881828,51.707089,0.920924,54.194857,1.035810,55.139178,1.017551,-38.283703
0.301000,0.000000,59.652645,1.515536,55.089143,1.383598,60.003564,1.287752,51.642516,1.156614,53.349879,1.142798,54.795484,1.036660,53.099272,0.953413,53.692776,0.933255,50.446998,0.757453,51.261136,0.722219,54.792560,0.722028,51.321115,0.628588,52.056188,0.514756,50.752045,0.490450,50.906994,0.455975,56.904964,0.384608,48.324424,0.235242,51.417377,0.233949,51.438021,0.118495,53.925598,-0.000823,50.597041,-0.049902,57.114813,0.003325,51.487828,-0.175068,55.000163,-0.257668,54.376978,-0.336716,56.503359,-0.441979,55.473633,-0.449584,52.466437,-0.552821,55.006202,-0.615390,56.970800,-0.651679,52.398910,-0.737369,59.687389,-0.921997,-38.341415
0.401000,0.000000,53.614720,-0.281316,55.935953,-0.214651,62.007816,-0.153358,55.767844,-0.148694,56.436714,-0.085932,60.006662,0.071427,55.254941,0.108958,58.016048,0.125843,51.658182,0.156836,54.800498,0.147668,52.595628,0.231746,53.733118,0.366038,58.864916,0.385771,55.770239,0.474573,55.695975,0.472312,55.869187,0.561060,51.427638,0.587818,56.191423,0.645979,54.353668,0.716777,58.196419,0.766590,55.611577,0.740031,58.317626,0.835746,57.823209,0.869046,56.001610,0.867092,55.057846,1.029622,56.229371,1.098601,53.847103,1.043939,55.232876,1.131931,54.337112,1.198355,57.616845,1.169845,58.070214,1.333608,62.994019,1.290609,-38.657185
0.501000,0.000000,67.069912,0.073050,61.705321,0.074512,58.525675,0.128343,61.850015,0.192362,63.020475,0.275245,60.925822,0.317995,59.193893,0.328477,61.559357,0.471885,58.286934,0.453192,58.393088,0.499677,55.485856,0.541475,59.201506,0.641921,60.912574,0.611185,60.656710,0.689701,59.059685,0.785487,61.378215,0.911522,56.010763,0.863545,57.978931,0.908867,59.083966,0.971071,65.660210,1.032239,59.327514,1.045796,62.069167,1.095198,57.947806,1.175707,63.783878,1.175296,57.806146,1.266017,65.373823,1.266821,58.839603,1.353104,63.877689,1.383577,66.272618,1.484249,57.958131,1.453691,62.725972,1.425429,58.766968,1.605975,-39.356400
0.601000,0.000000,70.101665,0.468508,64.366324,0.483063,67.450408,0.561753,68.581115,0.651631,63.400970,0.734880,61.848190,0.611012,61.077636,0.718677,62.581869,0.842478,64.648453,0.883808,65.431920,0.927325,59.618981,0.995042,68.269582,1.055436,67.277178,1.066804,61.276112,1.099006,60.100587,1.055909,61.574127,1.235074,65.183479,1.267476,62.922906,1.287105,65.050860,1.391227,67.553590,1.389778,64.740646,1.429659,65.932411,1.490241,63.411680,1.618995,64.477955,1.599462,64.996108,1.699481,64.019300,1.752928,62.330827,1.771781,64.991423,1.842907,65.352021,1.874647,71.172451,1.924845,67.974640,1.920542,67.153752,2.039070,-39.973669
0.701000,0.000000,68.928670,2.768623,69.143901,2.673578,69.581440,2.575051,70.766658,2.619508,72.464608,2.496832,66.153833,2.416245,71.080491,2.263820,64.379658,2.308303,74.959433,2.175790,72.286423,1.994837,71.235440,2.087621,67.108942,1.919153,67.302997,1.887486,69.601891,1.788146,64.990863,1.733386,65.931521,1.653993,69.723229,1.518078,67.461139,1.593343,76.614905,1.507857,65.949355,1.447859,70.069508,1.339538,69.183537,1.231253,71.980695,1.079935,78.924701,1.055297,63.269439,1.060594,66.828480,0.877966,67.917093,0.818616,75.625948,0.867076,66.766005,0.646783,70.441747,0.594174,69.817673,0.551548,73.423841,0.443585,-40.518022
0.802000,0.000000,81.494272,-2.965350,85.928552,-3.120343,86.625272,3.004589,79.578674,3.025700,73.254667,2.914412,76.878590,2.790463,76.579147,2.823361,80.896219,2.688707,83.563948,2.612511,82.114367,2.580131,77.513953,2.553178,83.213197,2.524758,78.366647,2.404614,82.478944,2.284069,72.233328,2.193748,80.080095,2.176308,78.137357,2.028265,70.493739,2.018371,84.345184,1.937748,80.928225,1.786373,83.405444,1.731101,80.383445,1.674695,88.370078,1.583239,89.023803,1.586114,81.664433,1.495411,77.001009,1.324426,78.266963,1.253094,79.269404,1.324112,86.647176,1.148595,76.372813,1.081290,84.580221,1.123342,84.731545,0.903665,-41.824280
0.902000,0.000000,105.338507,1.931585,101.375365,2.081752,106.634786,2.120606,112.783601,2.087379,106.619255,2.350105,110.440817,2.084987,104.583617,2.247336,100.436187,2.368466,101.040644,2.200910,107.294878,2.411377,95.122197,2.549166,118.257936,2.556511,105.706456,2.717458,103.070569,2.590635,106.047084,2.621591,94.560568,2.681656,102.788701,2.847154,117.428537,2.909153,90.735189,2.852028,106.046335,2.977977,106.825513,3.060701,100.593103,2.925051,90.167823,2.965007,114.839379,3.125989,107.516683,-3.137865,105.662470,-3.072572,95.191000,-2.909041,108.509982,-2.842173,104.464728,-3.026243,131.732418,-2.789454,106.641520,-2.828340,109.441915,-2.841914,-44.109089
