Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,313.287817,1.756845,227.433303,1.784469,321.263699,1.600423,341.777074,1.912680,256.097908,1.574067,275.736122,1.814250,232.561445,1.681265,315.829310,1.204755,290.257639,1.567449,279.657280,1.444299,198.904269,1.658233,271.009126,1.083818,326.713955,1.326449,330.705762,1.261744,224.173757,1.311321,259.639350,1.263522,325.701904,1.427192,260.794142,1.208422,294.209367,1.347773,356.677671,1.396260,311.833993,0.650769,326.477245,0.867388,254.971461,0.855438,296.245569,0.733838,257.285067,0.888133,306.956046,0.640176,322.053358,0.889005,258.956829,0.698625,282.195122,0.698878,237.247519,0.902002,222.620316,0.713523,322.594759,0.599635,-51.477138
0.100000,0.000000,127.179461,-0.396585,125.004558,-0.819294,155.719718,-0.602284,149.164475,-0.720897,138.685786,-0.828723,147.661634,-0.828152,130.964725,-0.787738,114.498512,-0.943042,145.251431,-0.971966,123.297469,-1.042836,157.954830,-1.070236,142.250748,-0.950186,134.910597,-1.365841,133.277861,-1.290360,146.061683,-1.394457,132.749878,-1.314151,125.141951,-1.280100,142.589608,-1.215227,127.934280,-1.338735,134.976559,-1.307185,130.985744,-1.520927,140.127280,-1.588867,130.446131,-1.622425,133.193990,-1.653133,140.548219,-1.759597,167.440993,-1.748519,137.138336,-1.875078,137.957964,-1.820480,147.273039,-1.946730,132.829071,-1.851661,141.882606,-2.166746,151.588601,-2.051350,-46.348608
0.200000,0.000000,54.368971,-0.953573,55.578182,-0.956496,58.068702,-1.081343,52.655097,-1.083340,51.217231,-1.063182,56.227905,-1.232137,54.801518,-1.172240,55.541882,-1.244578,50.848912,-1.318735,50.936275,-1.303632,55.615936,-1.368161,55.059695,-1.492771,54.249594,-1.427977,56.188155,-1.472242,51.685147,-1.561196,54.744397,-1.591244,55.987658,-1.660332,50.752243,-1.772062,54.885450,-1.711009,54.101740,-1.787493,54.195873,-1.911344,51.141850,-1.895523,52.608270,-1.955921,51.529897,-1.995000,55.480501,-2.044685,54.093840,-2.031322,53.980917,-2.088286,53.867453,-2.162308,55.734944,-2.214965,58.203555,-2.196963,57.797021,-2.331274,57.699871,-2.330078,-38.464095
0.300000,0.000000,75.645850,-1.144371,74.651834,-1.197842,74.422432,-1.301887,76.983952,-1.380179,75.725130,-1.383492,72.653873,-1.381737,70.632479,-1.569627,71.848903,-1.589310,78.142257,-1.621003,73.441148,-1.669840,73.369258,-1.699156,69.092863,-1.821104,76.871870,-1.821118,79.254089,-1.774051,71.159855,-1.844965,66.976730,-1.968734,72.825317,-1.946862,67.020137,-2.010591,69.226171,-1.985577,74.493286,-2.105681,78.748385,-2.182788,67.834119,-2.132164,71.483094,-2.217579,73.383137,-2.312313,64.963345,-2.284866,71.394740,-2.337423,68.703647,-2.361955,72.228471,-2.533633,73.167462,-2.536709,79.487335,-2.585446,77.982787,-2.631913,78.290245,-2.593240,-40.835409
0.401000,0.000000,157.814833,-1.669938,174.625185,-1.540385,186.307076,-1.841763,167.649118,-1.833271,168.859987,-1.971076,158.925538,-1.915948,155.042327,-1.935156,177.531579,-2.085010,179.691656,-2.023766,168.185968,-2.008690,170.078772,-1.969944,169.580520,-2.194263,186.553531,-2.347714,159.835896,-2.420243,173.218286,-2.394251,152.997926,-2.526549,160.054636,-2.587551,160.020273,-2.400165,142.650126,-2.363719,159.295237,-2.433111,151.375513,-2.498142,177.568404,-2.506112,189.432555,-2.774334,172.849018,-2.749807,173.986906,-2.879006,179.239753,-3.052505,156.473559,-3.026993,184.095562,-2.936115,160.290933,-3.121357,190.465879,-3.009791,208.669738,3.044661,162.861559,3.107032,-48.024718
0.501000,0.000000,73.111319,-0.600520,66.624191,-0.691886,70.208077,-0.715201,65.099659,-0.796921,64.238181,-0.831552,68.227625,-0.864816,64.335581,-0.971367,64.435846,-0.976097,63.791412,-0.979115,59.357013,-1.059590,60.926019,-1.105250,63.350672,-1.160701,63.360696,-1.214136,64.006275,-1.259813,61.882905,-1.258313,55.962749,-1.355672,64.523784,-1.329017,62.753444,-1.461333,64.543719,-1.437897,61.454126,-1.433626,64.285653,-1.508878,62.265283,-1.608755,57.218324,-1.646558,66.404299,-1.656232,61.159818,-1.718841,67.728873,-1.813959,63.396505,-1.834676,68.776234,-1.859211,64.291980,-1.939799,62.136567,-2.022743,67.743245,-2.024473,67.849610,-2.126218,-39.859263
0.602000,0.000000,44.072428,-2.338619,43.390201,-2.242215,42.090270,-2.244993,39.927195,-2.106550,40.933102,-2.063113,42.387453,-1.913182,40.505265,-1.893970,42.232226,-1.803003,42.757759,-1.693974,41.325225,-1.667207,39.659039,-1.605308,42.260901,-1.524039,42.499607,-1.428338,41.403715,-1.347702,41.552052,-1.251037,40.495286,-1.165661,41.156658,-1.104167,41.018407,-1.011296,40.353761,-0.895697,40.834796,-0.869933,39.696048,-0.726303,43.000477,-0.689437,40.800055,-0.579105,42.221025,-0.565104,41.013214,-0.403129,41.383012,-0.393633,44.904844,-0.347630,41.956648,-0.227426,41.266881,-0.168070,44.132389,-0.084972,46.310570,-0.008203,43.475579,0.033691,-36.247390
0.702000,0.000000,49.864471,-0.527276,50.322765,-0.519628,51.297021,-0.533857,48.896366,-0.638427,48.232039,-0.674347,48.225866,-0.658659,49.800720,-0.776527,49.161997,-0.770002,43.023784,-0.805495,51.007275,-0.837471,54.622097,-0.945058,48.136306,-0.905995,48.740913,-0.988222,49.541642,-1.094857,46.768164,-1.056606,50.056097,-1.120759,45.428235,-1.194662,46.659061,-1.217651,47.655007,-1.251748,49.378856,-1.374427,47.617845,-1.346852,49.821870,-1.424239,51.635915,-1.504884,47.277014,-1.541488,51.721563,-1.550890,48.644470,-1.584835,51.853844,-1.628238,47.120792,-1.641857,49.180174,-1.759636,51.641855,-1.787628,47.822516,-1.802591,50.811296,-1.815146,-37.586823
0.802000,0.000000,63.036298,-0.452845,61.373346,-0.589032,63.745115,-0.550280,60.294856,-0.654092,62.311879,-0.709069,64.163635,-0.773171,61.681263,-0.757522,57.905176,-0.788184,61.913620,-0.886411,59.361560,-0.963283,62.170135,-0.957108,59.532303,-0.990144,60.300331,-1.057685,57.954640,-1.047119,60.559430,-1.101456,58.942765,-1.125015,60.916178,-1.201534,64.344014,-1.338691,59.995354,-1.343027,60.085774,-1.323420,59.746584,-1.380856,63.096519,-1.491512,60.286854,-1.461190,59.550703,-1.476020,64.037179,-1.558825,67.377964,-1.642498,62.184194,-1.630223,68.546321,-1.725918,67.013401,-1.706811,65.399515,-1.894289,64.492130,-1.824736,67.807888,-1.931984,-39.614485
0.903000,0.000000,55.332408,-2.386437,59.036766,-2.276364,56.695457,-2.133772,49.121267,-2.004714,57.406313,-1.937724,51.051190,-1.969561,53.940502,-1.909627,56.931196,-1.762237,53.250227,-1.718171,52.354515,-1.628502,54.041430,-1.514589,52.726937,-1.481554,53.451826,-1.313896,51.450756,-1.373955,54.392570,-1.308608,52.849487,-1.182015,52.358920,-1.015395,54.109403,-0.988929,51.924191,-0.933960,53.901129,-0.724466,56.892485,-0.624858,53.157624,-0.643442,50.562095,-0.688252,53.664203,-0.518205,54.124291,-0.471675,55.001672,-0.423931,53.074412,-0.355377,55.848630,-0.239072,57.015627,-0.126396,57.450600,-0.035701,52.585998,0.087555,52.596511,0.069613,-38.426571
